epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,101.584,4.27363,0.25075,0.58126,2.98416,0.0667324,3.33009e-05,3.33009e-05
2,193.044,3.07628,0.46311,0.81456,1.93432,0.0334304,6.46352e-05,6.46352e-05
3,290.865,2.38387,0.58275,0.89631,1.41223,0.000126426,9.39695e-05,9.39695e-05
4,378.435,1.97891,0.6331,0.92124,1.2105,9.1e-05,9.1e-05,9.1e-05
5,463.674,1.77584,0.66301,0.92672,1.10389,8.8e-05,8.8e-05,8.8e-05
6,548.929,1.58774,0.69591,0.94118,1.00007,8.5e-05,8.5e-05,8.5e-05
7,634.985,1.46702,0.70638,0.93968,0.97552,8.2e-05,8.2e-05,8.2e-05
8,722.042,1.36871,0.72333,0.95165,0.93105,7.9e-05,7.9e-05,7.9e-05
9,809.623,1.29019,0.72034,0.94616,0.93103,7.6e-05,7.6e-05,7.6e-05
10,962.032,1.20591,0.7333,0.95364,0.88643,7.3e-05,7.3e-05,7.3e-05
11,1180.4,1.12602,0.74626,0.95763,0.86007,7e-05,7e-05,7e-05
12,1328.75,1.08026,0.75573,0.95713,0.84185,6.7e-05,6.7e-05,6.7e-05
13,1442.72,1.01928,0.74377,0.95663,0.84908,6.4e-05,6.4e-05,6.4e-05
14,1536.97,0.95017,0.75623,0.96411,0.81291,6.1e-05,6.1e-05,6.1e-05
15,1632.37,0.91171,0.75673,0.96461,0.81031,5.8e-05,5.8e-05,5.8e-05
16,1723.8,0.87649,0.75324,0.95862,0.82366,5.5e-05,5.5e-05,5.5e-05
17,1812.27,0.84234,0.75025,0.96261,0.83018,5.2e-05,5.2e-05,5.2e-05
18,1901.45,0.80409,0.76421,0.96261,0.81144,4.9e-05,4.9e-05,4.9e-05
19,1990.03,0.76689,0.76122,0.96211,0.81728,4.6e-05,4.6e-05,4.6e-05
20,2078.72,0.74983,0.76321,0.95962,0.8094,4.3e-05,4.3e-05,4.3e-05
21,2167.08,0.72612,0.7657,0.96211,0.80761,4e-05,4e-05,4e-05
22,2255.59,0.7081,0.77168,0.96461,0.79493,3.7e-05,3.7e-05,3.7e-05
23,2344.1,0.68038,0.76919,0.96361,0.78277,3.4e-05,3.4e-05,3.4e-05
24,2432.5,0.64674,0.77866,0.9651,0.77337,3.1e-05,3.1e-05,3.1e-05
25,2520.96,0.61168,0.76122,0.96311,0.79788,2.8e-05,2.8e-05,2.8e-05
26,2609.3,0.58711,0.7677,0.96261,0.77427,2.5e-05,2.5e-05,2.5e-05
27,2697.86,0.60204,0.77268,0.96162,0.78054,2.2e-05,2.2e-05,2.2e-05
28,2786.4,0.57414,0.77717,0.9676,0.77525,1.9e-05,1.9e-05,1.9e-05
29,2875.51,0.56033,0.77567,0.96461,0.79197,1.6e-05,1.6e-05,1.6e-05
30,2964.23,0.5437,0.77767,0.96311,0.76927,1.3e-05,1.3e-05,1.3e-05
